pan,tilt,voltage
88.0,84.0,1.6422287390029326
88.0,86.0,1.6422287390029326
88.0,88.0,1.66177908113392
88.0,90.0,1.66177908113392
88.0,92.0,1.6422287390029326
88.0,94.0,1.6422287390029326
88.0,96.0,1.6129032258064515
88.0,98.0,1.6226783968719452
88.0,100.0,1.6177908113391983
90.0,62.0,1.5640273704789833
90.0,64.0,1.573802541544477
90.0,66.0,1.573802541544477
90.0,68.0,1.598240469208211
90.0,70.0,1.5933528836754642
90.0,72.0,1.6422287390029326
90.0,74.0,1.6373411534701858
90.0,76.0,1.6373411534701858
90.0,78.0,1.6422287390029326
90.0,80.0,1.6422287390029326
90.0,82.0,1.632453567937439
90.0,84.0,1.6666666666666667
90.0,86.0,1.66177908113392
90.0,88.0,1.6422287390029326
90.0,90.0,1.66177908113392
90.0,92.0,1.66177908113392
90.0,94.0,1.6422287390029326
90.0,96.0,1.6422287390029326
90.0,98.0,1.6422287390029326
90.0,100.0,1.6177908113391983
92.0,62.0,1.5640273704789833
92.0,64.0,1.5689149560117301
92.0,66.0,1.5640273704789833
92.0,68.0,1.573802541544477
92.0,70.0,1.5933528836754642
92.0,72.0,1.6129032258064515
92.0,74.0,1.6373411534701858
92.0,76.0,1.6422287390029326
92.0,78.0,1.6373411534701858
92.0,80.0,1.632453567937439
92.0,82.0,1.6666666666666667
92.0,84.0,1.6422287390029326
92.0,86.0,1.6666666666666667
92.0,88.0,1.66177908113392
92.0,90.0,1.6422287390029326
92.0,92.0,1.6666666666666667
92.0,94.0,1.6226783968719452
92.0,96.0,1.6422287390029326
92.0,98.0,1.6226783968719452
92.0,100.0,1.6177908113391983
94.0,62.0,1.5640273704789833
94.0,64.0,1.5786901270772238
94.0,66.0,1.5640273704789833
94.0,68.0,1.5835777126099706
94.0,70.0,1.5884652981427174
94.0,72.0,1.6226783968719452
94.0,74.0,1.6422287390029326
94.0,76.0,1.6129032258064515
94.0,78.0,1.6422287390029326
94.0,80.0,1.6666666666666667
94.0,82.0,1.66177908113392
94.0,84.0,1.66177908113392
94.0,86.0,1.6666666666666667
94.0,88.0,1.6422287390029326
94.0,90.0,1.66177908113392
94.0,92.0,1.6226783968719452
94.0,94.0,1.6129032258064515
94.0,96.0,1.6422287390029326
94.0,98.0,1.6177908113391983
94.0,100.0,1.5884652981427174
96.0,62.0,1.5786901270772238
96.0,64.0,1.5640273704789833
96.0,66.0,1.5640273704789833
96.0,68.0,1.598240469208211
96.0,70.0,1.6031280547409579
96.0,72.0,1.6129032258064515
96.0,74.0,1.6422287390029326
96.0,76.0,1.6422287390029326
96.0,78.0,1.6422287390029326
96.0,80.0,1.6373411534701858
96.0,82.0,1.6422287390029326
96.0,84.0,1.6422287390029326
96.0,86.0,1.6422287390029326
96.0,88.0,1.66177908113392
96.0,90.0,1.6422287390029326
96.0,92.0,1.6422287390029326
96.0,94.0,1.6422287390029326
96.0,96.0,1.6177908113391983
96.0,98.0,1.6177908113391983
96.0,100.0,1.6129032258064515
98.0,62.0,1.573802541544477
98.0,64.0,1.823069403714565
98.0,66.0,1.5786901270772238
98.0,68.0,1.5689149560117301
98.0,70.0,1.6226783968719452
98.0,72.0,1.6177908113391983
98.0,74.0,1.6031280547409579
98.0,76.0,1.6422287390029326
98.0,78.0,1.6373411534701858
98.0,80.0,1.6226783968719452
98.0,82.0,1.6373411534701858
98.0,84.0,1.6422287390029326
98.0,86.0,1.6422287390029326
98.0,88.0,1.6129032258064515
98.0,90.0,1.6422287390029326
98.0,92.0,1.5933528836754642
98.0,94.0,1.6177908113391983
98.0,96.0,1.6031280547409579
98.0,98.0,1.573802541544477
98.0,100.0,1.5835777126099706
