pan,tilt,voltage
68.0,67.0,0.6842619745845552
68.0,68.0,0.7038123167155426
68.0,69.0,0.6451612903225806
68.0,70.0,0.7038123167155426
68.0,71.0,0.7086999022482894
68.0,72.0,0.6451612903225806
68.0,73.0,0.7233626588465298
68.0,74.0,0.6647116324535679
68.0,75.0,0.7282502443792767
68.0,76.0,0.7282502443792767
68.0,77.0,0.7233626588465298
68.0,78.0,0.6647116324535679
68.0,79.0,0.6647116324535679
68.0,80.0,0.6842619745845552
68.0,81.0,0.7038123167155426
68.0,82.0,0.7038123167155426
68.0,83.0,0.7282502443792767
68.0,84.0,0.7282502443792767
68.0,85.0,0.6744868035190615
68.0,86.0,0.7282502443792767
68.0,87.0,0.6647116324535679
68.0,88.0,0.7086999022482894
68.0,89.0,0.6647116324535679
68.0,90.0,0.7331378299120235
68.0,91.0,0.6842619745845552
68.0,92.0,0.7086999022482894
68.0,93.0,0.7038123167155426
68.0,94.0,0.6647116324535679
68.0,95.0,0.6451612903225806
68.0,96.0,0.7038123167155426
68.0,97.0,0.7282502443792767
68.0,98.0,0.6647116324535679
68.0,99.0,0.7038123167155426
68.0,100.0,0.6647116324535679
68.0,101.0,0.7086999022482894
68.0,102.0,0.6647116324535679
68.0,103.0,0.7282502443792767
68.0,104.0,0.6451612903225806
68.0,105.0,0.6842619745845552
68.0,106.0,0.6451612903225806
68.0,107.0,0.6451612903225806
68.0,108.0,0.6451612903225806
68.0,109.0,0.7038123167155426
68.0,110.0,0.7038123167155426
68.0,111.0,0.6647116324535679
68.0,112.0,0.6256109481915934
68.0,113.0,0.635386119257087
68.0,114.0,0.6647116324535679
68.0,115.0,0.6256109481915934
68.0,116.0,0.6256109481915934
69.0,47.0,0.6598240469208211
69.0,48.0,0.6598240469208211
69.0,49.0,0.6451612903225806
69.0,50.0,0.7086999022482894
69.0,51.0,0.6647116324535679
69.0,52.0,0.7429130009775171
69.0,53.0,0.6256109481915934
69.0,54.0,0.7086999022482894
69.0,55.0,0.6451612903225806
69.0,56.0,0.6647116324535679
69.0,57.0,0.7038123167155426
69.0,58.0,0.7429130009775171
69.0,59.0,0.7086999022482894
69.0,60.0,0.7038123167155426
69.0,61.0,0.6256109481915934
69.0,62.0,0.6451612903225806
69.0,63.0,0.7086999022482894
69.0,64.0,0.7038123167155426
69.0,65.0,0.6647116324535679
69.0,66.0,0.7038123167155426
69.0,67.0,0.7331378299120235
69.0,68.0,0.6647116324535679
69.0,69.0,0.7038123167155426
69.0,70.0,0.7038123167155426
69.0,71.0,0.7038123167155426
69.0,72.0,0.7526881720430108
69.0,73.0,0.7526881720430108
69.0,74.0,0.7526881720430108
69.0,75.0,0.7038123167155426
69.0,76.0,0.7331378299120235
69.0,77.0,0.6647116324535679
69.0,78.0,0.7282502443792767
69.0,79.0,0.7038123167155426
69.0,80.0,0.7820136852394917
69.0,81.0,0.7233626588465298
69.0,82.0,0.7135874877810362
69.0,83.0,0.7771260997067448
69.0,84.0,0.7820136852394917
69.0,85.0,0.7233626588465298
69.0,86.0,0.7771260997067448
69.0,87.0,0.7771260997067448
69.0,88.0,0.7820136852394917
69.0,89.0,0.8015640273704789
69.0,90.0,0.7429130009775171
69.0,91.0,0.7429130009775171
69.0,92.0,0.7429130009775171
69.0,93.0,0.7820136852394917
69.0,94.0,0.7771260997067448
69.0,95.0,0.7526881720430108
69.0,96.0,0.7771260997067448
69.0,97.0,0.7820136852394917
69.0,98.0,0.7771260997067448
69.0,99.0,0.7429130009775171
69.0,100.0,0.7135874877810362
69.0,101.0,0.7820136852394917
69.0,102.0,0.7771260997067448
69.0,103.0,0.7038123167155426
69.0,104.0,0.7429130009775171
69.0,105.0,0.7038123167155426
69.0,106.0,0.7282502443792767
69.0,107.0,0.7038123167155426
69.0,108.0,0.7038123167155426
69.0,109.0,0.7282502443792767
69.0,110.0,0.7086999022482894
69.0,111.0,0.6451612903225806
69.0,112.0,0.6256109481915934
69.0,113.0,0.7038123167155426
69.0,114.0,0.6842619745845552
69.0,115.0,0.6793743890518084
69.0,116.0,0.6647116324535679
70.0,47.0,0.7038123167155426
70.0,48.0,0.7282502443792767
70.0,49.0,0.7820136852394917
70.0,50.0,0.7526881720430108
70.0,51.0,0.7526881720430108
70.0,52.0,0.7038123167155426
70.0,53.0,0.6647116324535679
70.0,54.0,0.7038123167155426
70.0,55.0,0.7282502443792767
70.0,56.0,0.6647116324535679
70.0,57.0,0.7429130009775171
70.0,58.0,0.7526881720430108
70.0,59.0,0.7820136852394917
70.0,60.0,0.7624633431085044
70.0,61.0,0.7038123167155426
70.0,62.0,0.8211143695014663
